22.98,125.94,332
0.00,127.68,130.35,332
0.00,125.33,127.01,332
0.00,122.81,124.04,332
0.00,121.51,123.49,332
0.00,121.91,124.71,332
0.00,123.56,127.22,332
0.00,124.49,127.97,332
0.00,123.82,126.36,332
0.00,124.41,127.61,332
0.00,126.46,130.69,332
0.00,127.41,131.04,332
0.00,127.03,130.22,332
0.00,126.21,129.35,332
0.00,125.62,128.72,332
0.00,125.18,127.98,332
0.00,124.32,126.91,332
0.00,123.69,126.39,332
0.00,123.51,126.56,332
0.00,124.72,128.03,332
0.00,126.15,130.18,332
0.00,127.19,131.21,332
0.00,127.68,131.43,332
0.00,127.22,130.50,332
0.00,126.62,129.82,332
0.00,126.18,129.33,332
0.00,125.59,128.43,332
0.00,124.89,127.77,332
0.00,124.65,128.11,332
0.00,125.02,128.35,332
0.00,124.74,128.25,332
0.00,124.54,127.64,332
0.00,124.67,128.28,332
0.00,124.22,127.93,332
0.00,124.16,128.49,332
0.00,124.66,128.90,332
0.00,125.02,128.66,332
0.00,125.28,128.75,332
0.00,125.48,129.09,332
0.00,125.62,128.79,332
0.00,125.18,128.04,332
0.00,125.94,129.11,332
0.00,127.04,130.43,332
0.00,127.84,130.85,332
0.00,127.34,130.08,332
0.00,126.98,130.06,332
0.00,126.99,130.04,332
0.00,126.72,130.03,332
0.00,127.06,130.56,332
0.00,127.59,130.95,332
0.00,127.70,131.24,332
0.00,127.24,130.36,332
0.00,126.63,129.99,332
0.00,126.73,130.00,332
0.00,127.08,131.08,332
0.00,128.41,132.95,332
0.00,128.84,132.69,332
0.00,128.07,131.42,332
0.00,128.05,131.31,332
0.00,129.12,133.39,332
0.00,130.71,135.44,332
0.00,131.60,135.59,332
0.00,131.71,135.43,332
0.00,131.79,135.86,332
0.00,132.11,135.90,332
0.00,132.08,135.38,332
0.00,132.60,136.36,332
0.00,133.79,137.88,332
0.00,134.66,139.00,332
0.00,135.29,139.81,332
0.00,134.40,137.70,332
0.00,132.13,134.81,332
0.00,130.47,132.43,332
0.00,129.27,131.23,332
0.00,128.92,131.17,332
0.00,128.40,130.85,332
0.00,126.67,129.00,332
0.00,124.87,126.84,332
0.00,123.56,125.53,332
0.00,122.59,124.85,332
0.00,121.89,124.08,332
0.00,121.38,124.06,332
0.00,121.55,124.04,332
0.00,121.67,124.57,332
0.00,121.76,124.96,332
0.00,121.55,124.43,332
0.00,122.22,125.12,332
0.00,123.51,126.98,332
0.00,124.99,128.88,332
0.00,125.53,128.91,332
0.00,124.58,127.04,332
0.00,123.88,126.22,332
0.00,122.83,125.08,332
0.00,121.26,123.17,332
0.00,120.11,121.77,332
0.00,120.08,122.10,332
0.00,120.33,122.89,332
0.00,120.78,124.00,332
0.00,122.73,127.24,332
0.00,127.67,133.93,332
0.00,135.86,144.75,332
0.00,146.97,158.60,332
0.00,160.22,174.65,332
0.00,173.40,189.60,332
0.00,183.02,198.35,332
0.00,187.06,199.34,332
0.00,185.16,193.57,332
0.00,178.90,183.15,332
0.00,169.47,170.41,332
0.00,159.62,158.42,332
0.00,151.62,149.12,332
0.00,145.24,142.87,332
0.00,140.04,138.04,332
0.00,136.52,135.33,332
0.00,134.22,133.62,332
0.00,132.00,131.83,332
0.00,130.65,130.80,332
0.00,128.85,129.23,332
0.00,127.00,127.55,332
0.00,125.11,125.78,332
0.00,123.19,123.68,332
0.00,121.25,121.60,332
0.00,120.10,120.90,332
0.00,119.53,120.66,332
0.00,118.58,119.94,332
0.00,116.80,117.79,332
0.00,114.96,116.23,332
0.00,114.16,116.17,332
0.00,114.93,117.47,332
0.00,116.57,119.78,332
0.00,118.04,121.73,332
0.00,119.38,123.15,332
0.00,120.09,123.92,332
0.00,120.60,123.94,332
0.00,121.25,125.04,332
0.00,122.80,127.19,332
0.00,123.67,128.22,332
0.00,124.03,128.16,332
0.00,124.02,127.85,332
0.00,125.10,128.97,332
0.00,126.96,131.14,332
0.00,127.78,131.91,332
0.00,127.84,131.40,332
0.00,127.61,130.75,332
0.00,127.18,130.01,332
0.00,126.86,129.73,332
0.00,126.63,129.81,332
0.00,127.81,131.48,332
0.00,128.40,132.70,332
0.00,128.56,132.51,332
0.00,127.87,131.29,332
0.00,127.09,130.13,332
0.00,126.80,130.10,332
0.00,127.66,131.42,332
0.00,129.38,133.74,332
0.00,130.90,135.97,332
0.00,132.00,136.79,332
0.00,132.27,136.85,332
0.00,132.74,136.89,332
0.00,132.54,136.38,332
0.00,132.39,135.74,332
0.00,132.02,135.00,332
0.00,132.01,135.27,332
0.00,133.09,136.55,332
0.00,134.96,139.10,332
0.00,137.13,142.04,332
0.00,138.45,143.38,332
0.00,138.87,143.28,332
0.00,138.63,142.93,332
0.00,139.00,143.22,332
0.00,139.54,143.97,332
0.00,140.21,145.06,332
0.00,141.23,146.39,332
0.00,141.71,146.56,332
0.00,141.79,146.41,332
0.00,141.84,146.57,332
0.00,142.97,147.77,332
0.00,144.33,149.72,332
0.00,145.32,150.61,332
0.00,144.96,149.36,332
0.00,143.62,146.83,332
0.00,141.56,144.18,332
0.00,139.52,141.43,332
0.00,137.49,139.42,332
0.00,136.55,138.50,332
0.00,135.86,137.55,332
0.00,134.28,136.05,332
0.00,132.31,133.34,332
0.00,130.61,131.89,332
0.00,129.09,130.30,332
0.00,127.72,128.87,332
0.00,125.63,125.93,332
0.00,123.03,123.52,332
0.00,121.94,122.84,332
0.00,121.42,122.61,332
0.00,121.03,122.72,332
0.00,121.29,123.06,332
0.00,121.49,123.86,332
0.00,122.16,124.71,332
0.00,122.39,125.60,332
0.00,122.56,125.98,332
0.00,122.95,126.25,332
0.00,123.23,125.64,332
0.00,122.90,125.47,332
0.00,122.39,125.07,332
0.00,121.47,123.43,332
0.00,120.26,121.69,332
0.00,119.11,120.43,332
0.00,118.54,120.31,332
0.00,118.94,121.31,332
0.00,119.49,122.31,332
0.00,120.44,123.84,332
0.00,121.40,124.43,332
0.00,121.83,124.31,332
0.00,120.80,123.15,332
0.00,120.04,122.57,332
0.00,120.03,122.95,332
0.00,120.02,122.70,332
0.00,119.48,121.97,332
0.00,119.08,121.98,332
0.00,119.33,122.79,332
0.00,119.51,123.12,332
0.00,120.45,124.44,332
0.00,122.49,126.75,332
0.00,123.98,128.17,332
0.00,124.53,128.12,332
0.00,124.38,127.82,332
0.00,124.28,127.87,332
0.00,124.20,127.63,332
0.00,123.88,127.19,332
0.00,123.91,127.41,332
0.00,123.94,127.57,332
0.00,123.68,126.61,332
0.00,123.50,126.98,332
0.00,123.90,127.26,332
0.00,123.66,126.38,332
